real_time,wind_speed,pitch_angle,generator_speed,nacelle_direction,wind_direction,nacelle_temperature,air_density,power,turbine_code
2022/6/1 0:00,5.15,0.5,1176,-4.2,119.6,28.7,1.13,262,15#
2022/6/1 0:10,5.1,0.5,1176,1.74,118.18,28.7,1.13,251,15#
2022/6/1 0:20,5.19,0.5,1184,0.39,116.83,28.6,1.13,269,15#
2022/6/1 0:30,4.32,0.5,1153,2.1,115.63,28.6,1.13,149,15#
2022/6/1 0:40,2.9,0.5,1149,-3.41,112.67,28.4,1.13,25,15#
2022/6/1 0:50,3.92,0.5,1150,-6.36,113.14,28.3,1.13,111,15#
2022/6/1 1:00,4.72,0.5,1150,0.43,115.82,28.3,1.13,188,15#
2022/6/1 1:10,5.7,0.5,1249,-0.51,113.94,28.4,1.13,345,15#
2022/6/1 1:20,5.61,0.5,1228,0.75,118.0,27.7,1.13,321,15#
2022/6/1 1:30,5.24,0.5,1210,-1.37,114.44,27.1,1.14,287,15#
2022/6/1 1:40,5.04,0.5,1168,1.54,109.2,26.8,1.14,242,15#
2022/6/1 1:50,5.2,0.5,1182,6.01,120.51,26.7,1.14,269,15#
2022/6/1 2:00,5.14,0.5,1175,-0.37,125.4,26.6,1.14,252,15#
2022/6/1 2:10,3.83,0.5,1150,-5.22,123.86,26.9,1.14,92,15#
2022/6/1 2:20,4.05,0.5,1150,-1.16,126.87,27.3,1.14,125,15#
2022/6/1 2:30,4.45,0.5,1153,-4.78,125.48,27.5,1.13,156,15#
2022/6/1 2:40,4.3,0.5,1150,-1.34,127.38,27.6,1.13,153,15#
2022/6/1 2:50,4.39,0.5,1152,2.13,126.01,27.6,1.13,162,15#
2022/6/1 3:00,4.58,0.5,1150,-0.6,126.61,27.7,1.13,172,15#
2022/6/1 3:10,4.96,0.5,1154,1.64,132.78,27.7,1.13,226,15#
2022/6/1 3:20,5.04,0.5,1159,-2.3,124.33,27.8,1.13,233,15#
2022/6/1 3:30,4.49,0.5,1150,1.0,123.11,27.9,1.13,163,15#
2022/6/1 3:40,4.07,0.5,1150,2.31,121.39,27.8,1.13,119,15#
2022/6/1 3:50,4.49,0.5,1150,-0.08,122.29,27.8,1.13,160,15#
2022/6/1 4:00,4.67,0.5,1152,2.86,117.21,27.8,1.13,192,15#
2022/6/1 4:10,5.19,0.5,1162,-1.15,122.26,27.9,1.13,252,15#
2022/6/1 4:20,4.38,0.5,1150,-10.43,126.65,27.6,1.13,159,15#
2022/6/1 4:30,4.81,0.5,1164,-2.54,112.23,26.9,1.14,220,15#
2022/6/1 4:40,5.23,0.5,1186,-2.17,112.75,26.6,1.14,270,15#
2022/6/1 4:50,4.97,0.5,1170,0.72,118.23,26.4,1.14,232,15#
2022/6/1 5:00,4.56,0.5,1154,1.63,110.57,26.4,1.14,184,15#
2022/6/1 5:10,5.18,0.5,1201,0.6,111.49,26.8,1.14,265,15#
2022/6/1 5:20,5.63,0.5,1253,-3.92,111.78,27.3,1.14,346,15#
2022/6/1 5:30,5.41,0.5,1229,-0.26,109.39,27.5,1.14,315,15#
2022/6/1 5:40,5.86,0.5,1314,-2.44,112.7,27.6,1.14,409,15#
2022/6/1 5:50,6.05,0.5,1349,3.48,116.96,27.7,1.14,450,15#
2022/6/1 6:00,6.28,0.5,1415,2.56,117.04,27.7,1.14,525,15#
2022/6/1 6:10,6.03,0.5,1349,2.56,120.31,26.9,1.14,448,15#
2022/6/1 6:20,5.31,0.5,1210,0.68,126.61,26.3,1.14,288,15#
2022/6/1 6:30,4.44,0.5,1158,1.25,126.56,26.1,1.14,181,15#
2022/6/1 6:40,5.04,0.5,1174,-3.27,116.47,26.1,1.14,239,15#
2022/6/1 6:50,4.42,0.5,1161,-2.44,109.25,26.4,1.14,168,15#
2022/6/1 7:00,5.38,0.5,1229,2.4,116.87,26.8,1.14,297,15#
2022/6/1 7:10,5.12,0.5,1180,-1.51,131.73,27.2,1.14,253,15#
2022/6/1 7:20,5.15,0.5,1177,-0.1,137.25,27.3,1.14,250,15#
2022/6/1 7:30,5.5,0.5,1217,3.22,134.52,27.4,1.14,312,15#
2022/6/1 7:40,5.72,0.5,1270,3.99,137.15,27.6,1.14,364,15#
2022/6/1 7:50,6.2,0.5,1396,-0.4,139.94,27.7,1.13,501,15#
2022/6/1 8:00,5.37,0.5,1236,2.39,137.77,27.5,1.14,317,15#
2022/6/1 8:10,4.87,0.5,1173,-1.6,131.16,26.8,1.14,230,15#
2022/6/1 8:20,5.37,0.5,1192,-2.57,131.69,26.5,1.14,278,15#
2022/6/1 8:30,5.73,0.5,1259,-0.46,131.27,26.5,1.14,355,15#
